Source,Target
383498,402900
383498,466282
402900,466282
363088,383498
363088,402900
363088,466282
383498,462919
402900,462919
462919,466282
363088,462919
383498,454983
402900,454983
454983,466282
363088,454983
454983,462919
293660,383498
293660,402900
293660,466282
293660,363088
293660,462919
383498,455980
402900,455980
455980,466282
363088,455980
455980,462919
283995,383498
283995,402900
283995,466282
283995,363088
283995,462919
354912,383498
354912,402900
354912,466282
354912,363088
354912,462919
177572,383498
177572,402900
177572,466282
177572,363088
177572,462919
269149,383498
269149,402900
269149,466282
269149,363088
269149,462919
383498,487558
402900,487558
466282,487558
363088,487558
462919,487558
150540,383498
150540,402900
150540,466282
150540,363088
150540,462919
383498,455207
402900,455207
455207,466282
363088,455207
455207,462919
194662,383498
194662,402900
194662,466282
194662,363088
194662,462919
383498,460668
402900,460668
460668,466282
363088,460668
460668,462919
20352,383498
20352,402900
20352,466282
20352,363088
20352,462919
383498,420814
402900,420814
420814,466282
363088,420814
420814,462919
291805,383498
291805,402900
291805,466282
291805,363088
291805,462919
383498,400155
400155,402900
400155,466282
363088,400155
400155,462919
383498,437557
402900,437557
437557,466282
363088,437557
437557,462919
207703,383498
207703,402900
207703,466282
207703,363088
207703,462919
383498,445571
402900,445571
445571,466282
363088,445571
445571,462919
383498,458423
402900,458423
458423,466282
363088,458423
458423,462919
313369,383498
313369,402900
313369,466282
313369,363088
313369,462919
383498,399174
399174,402900
399174,466282
363088,399174
399174,462919
93456,383498
93456,402900
93456,466282
93456,363088
93456,462919
98566,383498
98566,402900
98566,466282
98566,363088
98566,462919
106646,383498
106646,402900
106646,466282
106646,363088
106646,462919
257344,383498
257344,402900
257344,466282
257344,363088
257344,462919
425,383498
425,402900
425,466282
425,363088
425,462919
585,383498
585,402900
585,466282
585,363088
585,462919
383498,454619
402900,454619
454619,466282
363088,454619
454619,462919
383498,455656
402900,455656
455656,466282
363088,455656
455656,462919
310,383498
310,402900
310,466282
310,363088
310,462919
808,383498
808,402900
808,466282
808,363088
808,462919
383498,474335
402900,474335
466282,474335
363088,474335
462919,474335
18785,383498
18785,402900
18785,466282
18785,363088
18785,462919
383498,449176
402900,449176
449176,466282
363088,449176
449176,462919
340022,383498
340022,402900
340022,466282
340022,363088
340022,462919
257445,383498
257445,402900
257445,466282
257445,363088
257445,462919
339846,383498
339846,402900
339846,466282
339846,363088
339846,462919
62177,383498
62177,402900
62177,466282
62177,363088
62177,462919
335797,383498
335797,402900
335797,466282
335797,363088
335797,462919
353486,383498
353486,402900
353486,466282
353486,363088
353486,462919
270946,383498
270946,402900
270946,466282
270946,363088
270946,462919
224141,383498
224141,402900
224141,466282
224141,363088
224141,462919
350,383498
350,402900
350,466282
350,363088
350,462919
383498,387592
387592,402900
387592,466282
363088,387592
387592,462919
214756,383498
214756,402900
214756,466282
214756,363088
214756,462919
159824,383498
159824,402900
159824,466282
159824,363088
159824,462919
218746,383498
218746,402900
218746,466282
218746,363088
218746,462919
14160,383498
14160,402900
14160,466282
14160,363088
14160,462919
254470,383498
254470,402900
254470,466282
254470,363088
254470,462919
181533,383498
181533,402900
181533,466282
181533,363088
181533,462919
179144,383498
179144,402900
179144,466282
179144,363088
179144,462919
166426,383498
166426,402900
166426,466282
166426,363088
166426,462919
364689,383498
364689,402900
364689,466282
363088,364689
364689,462919
383498,446894
402900,446894
446894,466282
363088,446894
446894,462919
608,383498
608,402900
608,466282
608,363088
608,462919
2976,383498
2976,402900
2976,466282
2976,363088
2976,462919
260514,383498
260514,402900
260514,466282
260514,363088
260514,462919
383498,390043
390043,402900
390043,466282
363088,390043
390043,462919
383498,418827
402900,418827
418827,466282
363088,418827
418827,462919
72105,383498
72105,402900
72105,466282
72105,363088
72105,462919
787,383498
787,402900
787,466282
787,363088
787,462919
9880,383498
9880,402900
9880,466282
9880,363088
9880,462919
383498,452731
402900,452731
452731,466282
363088,452731
452731,462919
11631,383498
11631,402900
11631,466282
11631,363088
11631,462919
920,383498
920,402900
920,466282
920,363088
920,462919
227159,383498
227159,402900
227159,466282
227159,363088
227159,462919
383498,507562
402900,507562
466282,507562
363088,507562
462919,507562
383498,391713
391713,402900
391713,466282
363088,391713
391713,462919
818,383498
818,402900
818,466282
818,363088
818,462919
13053,383498
13053,402900
13053,466282
13053,363088
13053,462919
950,383498
950,402900
950,466282
950,363088
11130,383498
11130,402900
11130,466282
11130,363088
11130,462919
228967,383498
228967,402900
228967,466282
228967,363088
228967,462919
10193,383498
10193,402900
10193,466282
10193,363088
10193,462919
57800,383498
57800,402900
57800,466282
57800,363088
57800,462919
194,383498
194,402900
194,466282
194,363088
194,462919
77338,383498
77338,402900
77338,466282
77338,363088
77338,462919
71552,383498
71552,402900
71552,466282
71552,363088
71552,462919
100042,383498
100042,402900
100042,466282
100042,363088
100042,462919
41630,383498
41630,402900
41630,466282
41630,363088
41630,462919
370567,383498
370567,402900
370567,466282
363088,370567
370567,462919
62764,383498
62764,402900
62764,466282
62764,363088
62764,462919
127380,383498
127380,402900
127380,466282
127380,363088
127380,462919
225886,383498
225886,402900
225886,466282
225886,363088
225886,462919
383498,384677
384677,402900
384677,466282
363088,384677
384677,462919
4247,383498
4247,402900
4247,466282
4247,363088
4247,462919
49519,383498
49519,402900
49519,466282
49519,363088
49519,462919
9502,383498
9502,402900
9502,466282
9502,363088
9502,462919
8355,383498
8355,402900
8355,466282
8355,363088
8355,462919
4638,383498
4638,402900
4638,466282
4638,363088
4638,462919
383498,454992
402900,454992
454992,466282
363088,454992
454992,462919
118,383498
118,402900
118,466282
118,363088
118,462919
19913,383498
19913,402900
19913,466282
19913,363088
19913,462919
120467,383498
120467,402900
120467,466282
120467,363088
120467,462919
2062,383498
2062,402900
2062,466282
2062,363088
2062,462919
35,383498
35,402900
35,466282
35,363088
35,462919
43074,383498
43074,402900
43074,466282
43074,363088
43074,462919
193893,383498
193893,402900
193893,466282
193893,363088
193893,462919
210860,383498
210860,402900
210860,466282
210860,363088
210860,462919
383498,397422
397422,402900
397422,466282
363088,397422
397422,462919
278154,383498
278154,402900
278154,466282
278154,363088
278154,462919
256961,383498
256961,402900
256961,466282
256961,363088
256961,462919
301337,383498
301337,402900
301337,466282
301337,363088
301337,462919
203801,383498
203801,402900
203801,466282
203801,363088
203801,462919
383498,400579
400579,402900
400579,466282
363088,400579
400579,462919
324852,383498
324852,402900
324852,466282
324852,363088
324852,462919
109414,383498
109414,402900
109414,466282
109414,363088
109414,462919
8363,383498
8363,402900
8363,466282
8363,363088
8363,462919
371638,383498
371638,402900
371638,466282
363088,371638
371638,462919
271718,383498
271718,402900
271718,466282
271718,363088
271718,462919
211672,383498
211672,402900
211672,466282
211672,363088
211672,462919
18360,383498
18360,402900
18360,466282
18360,363088
18360,462919
238713,383498
238713,402900
238713,466282
238713,363088
238713,462919
302699,383498
302699,402900
302699,466282
302699,363088
302699,462919
383498,502422
402900,502422
466282,502422
363088,502422
462919,502422
10661,383498
10661,402900
10661,466282
10661,363088
10661,462919
37834,383498
37834,402900
37834,466282
37834,363088
37834,462919
809,383498
809,402900
809,466282
809,363088
809,462919
268531,383498
268531,402900
268531,466282
268531,363088
268531,462919
10735,383498
10735,402900
10735,466282
10735,363088
10735,462919
4944,383498
4944,402900
4944,466282
4944,363088
4944,462919
318846,383498
318846,402900
318846,466282
318846,363088
318846,462919
9471,383498
9471,402900
9471,466282
9471,363088
9471,462919
383498,431530
402900,431530
431530,466282
363088,431530
431530,462919
137116,383498
137116,402900
137116,466282
137116,363088
137116,462919
7443,383498
7443,402900
7443,466282
7443,363088
7443,462919
9339,383498
9339,402900
9339,466282
9339,363088
9339,462919
383498,454283
402900,454283
454283,466282
363088,454283
454283,462919
10625,383498
10625,402900
10625,466282
10625,363088
10625,462919
109451,383498
109451,402900
109451,466282
109451,363088
109451,462919
200727,383498
200727,402900
200727,466282
200727,363088
200727,462919
59861,383498
59861,402900
59861,466282
59861,363088
59861,462919
196867,383498
196867,402900
196867,466282
196867,363088
196867,462919
46195,383498
46195,402900
46195,466282
46195,363088
46195,462919
356305,383498
356305,402900
356305,466282
356305,363088
356305,462919
383498,460793
402900,460793
460793,466282
363088,460793
460793,462919
82702,383498
82702,402900
82702,466282
82702,363088
82702,462919
383498,433310
402900,433310
433310,466282
363088,433310
433310,462919
383498,511785
402900,511785
466282,511785
363088,511785
462919,511785
383498,399170
399170,402900
399170,466282
363088,399170
399170,462919
342473,383498
342473,402900
342473,466282
342473,363088
342473,462919
9522,383498
9522,402900
9522,466282
9522,363088
9522,462919
80321,383498
80321,402900
80321,466282
80321,363088
80321,462919
290762,383498
290762,402900
290762,466282
290762,363088
290762,462919
383498,502682
402900,502682
466282,502682
363088,502682
51540,383498
51540,402900
51540,466282
51540,363088
51540,462919
9023,383498
9023,402900
9023,466282
9023,363088
9023,462919
112160,383498
112160,402900
112160,466282
112160,363088
112160,462919
324849,383498
324849,402900
324849,466282
324849,363088
324849,462919
22970,383498
22970,402900
22970,466282
22970,363088
22970,462919
10501,383498
10501,402900
10501,466282
10501,363088
10501,462919
19908,383498
19908,402900
19908,466282
19908,363088
19908,462919
116149,383498
116149,402900
116149,466282
116149,363088
116149,462919
2770,383498
2770,402900
2770,466282
2770,363088
2770,462919
337170,383498
337170,402900
337170,466282
337170,363088
337170,462919
383498,429733
402900,429733
429733,466282
363088,429733
429733,462919
4248,383498
4248,402900
4248,466282
4248,363088
4248,462919
2022,383498
18240,383498
18240,402900
18240,466282
18240,363088
18240,462919
195589,383498
195589,402900
195589,466282
195589,363088
195589,462919
114150,383498
114150,402900
114150,466282
114150,363088
114150,462919
376660,383498
376660,402900
376660,466282
363088,376660
376660,462919
9472,383498
9472,402900
9472,466282
9472,363088
9472,462919
339404,383498
339404,402900
339404,466282
339404,363088
339404,462919
171274,383498
171274,402900
171274,466282
171274,363088
171274,462919
37735,383498
37735,402900
37735,466282
37735,363088
37735,462919
187017,383498
187017,402900
187017,466282
187017,363088
187017,462919
11688,383498
11688,402900
11688,466282
11688,363088
11688,462919
4258,383498
4258,402900
4258,466282
4258,363088
4258,462919
264999,383498
264999,402900
264999,466282
264999,363088
264999,462919
172385,383498
172385,402900
172385,466282
172385,363088
172385,462919
174321,383498
174321,402900
174321,466282
174321,363088
174321,462919
41154,383498
41154,402900
41154,466282
41154,363088
41154,462919
10555,383498
10555,402900
10555,466282
10555,363088
10555,462919
4256,383498
4256,402900
4256,466282
4256,363088
4256,462919
49524,383498
49524,402900
49524,466282
49524,363088
49524,462919
38357,383498
38357,402900
38357,466282
38357,363088
38357,462919
10591,383498
10591,402900
10591,466282
10591,363088
10591,462919
7453,383498
7453,402900
7453,466282
7453,363088
7453,462919
383498,487702
402900,487702
466282,487702
363088,487702
462919,487702
267193,383498
267193,402900
267193,466282
267193,363088
267193,462919
308531,383498
308531,402900
308531,466282
308531,363088
308531,462919
44896,383498
44896,402900
44896,466282
44896,363088
44896,462919
383498,487063
402900,487063
466282,487063
363088,487063
462919,487063
634,383498
634,402900
634,466282
634,363088
634,462919
392,383498
392,402900
392,466282
392,363088
392,462919
239563,383498
239563,402900
239563,466282
239563,363088
239563,462919
168530,383498
168530,402900
168530,466282
168530,363088
168530,462919
88751,383498
88751,402900
88751,466282
88751,363088
88751,462919
383498,489929
402900,489929
466282,489929
363088,489929
462919,489929
223702,383498
223702,402900
223702,466282
223702,363088
223702,462919
256591,383498
256591,402900
256591,466282
256591,363088
256591,462919
50022,383498
50022,402900
50022,466282
50022,363088
50022,462919
109439,383498
109439,402900
109439,466282
109439,363088
109439,462919
353616,383498
353616,402900
353616,466282
353616,363088
353616,462919
11430,383498
11430,402900
11430,466282
11430,363088
11430,462919
205321,383498
205321,402900
205321,466282
205321,363088
205321,462919
59436,383498
59436,402900
59436,466282
59436,363088
59436,462919
4327,383498
4327,402900
4327,466282
4327,363088
4327,462919
6477,383498
6477,402900
6477,466282
6477,363088
6477,462919
11397,383498
11397,402900
11397,466282
11397,363088
11397,462919
383498,425980
402900,425980
425980,466282
363088,425980
425980,462919
13374,383498
13374,402900
13374,466282
13374,363088
13374,462919
382591,383498
382591,402900
382591,466282
363088,382591
382591,462919
1593,383498
1593,402900
1593,466282
1593,363088
1593,462919
383498,399796
399796,402900
399796,466282
363088,399796
399796,462919
140300,383498
140300,402900
140300,466282
140300,363088
140300,462919
383498,400928
400928,402900
400928,466282
363088,400928
400928,462919
1268,383498
1268,402900
1268,466282
1268,363088
1268,462919
9637,383498
9637,402900
9637,466282
9637,363088
9637,462919
257211,383498
257211,402900
257211,466282
257211,363088
257211,462919
346648,383498
346648,402900
346648,466282
346648,363088
346648,462919
254320,383498
254320,402900
254320,466282
254320,363088
254320,462919
10315,383498
10315,402900
10315,466282
10315,363088
10315,462919
11024,383498
11024,402900
11024,466282
11024,363088
11024,462919
22705,383498
22705,402900
22705,466282
22705,363088
22705,462919
381341,383498
381341,402900
381341,466282
363088,381341
381341,462919
112205,383498
112205,402900
112205,466282
112205,363088
112205,462919
383498,503314
402900,503314
466282,503314
363088,503314
462919,503314
134374,383498
134374,402900
134374,466282
134374,363088
134374,462919
49013,383498
49013,402900
49013,466282
49013,363088
49013,462919
45243,383498
45243,402900
45243,466282
45243,363088
45243,462919
383498,507143
402900,507143
466282,507143
363088,507143
462919,507143
383498,503619
402900,503619
466282,503619
363088,503619
462919,503619
383498,518452
402900,518452
466282,518452
363088,518452
462919,518452
76492,383498
76492,402900
76492,466282
76492,363088
76492,462919
383498,496704
402900,496704
466282,496704
363088,496704
462919,496704
11887,383498
11887,402900
11887,466282
11887,363088
11887,462919
64688,383498
64688,402900
64688,466282
64688,363088
64688,462919
4257,383498
4257,402900
4257,466282
4257,363088
4257,462919
7326,383498
7326,402900
7326,466282
7326,363088
7326,462919
22538,383498
22538,402900
22538,466282
22538,363088
22538,462919
121826,383498
121826,402900
121826,466282
121826,363088
121826,462919
4380,383498
4380,402900
4380,466282
4380,363088
4380,462919
378236,383498
378236,402900
378236,466282
363088,378236
378236,462919
174188,383498
174188,402900
174188,466282
174188,363088
174188,462919
59962,383498
59962,402900
59962,466282
59962,363088
59962,462919
325189,383498
325189,402900
325189,466282
325189,363088
325189,462919
77931,383498
77931,402900
77931,466282
77931,363088
77931,462919
50546,383498
50546,402900
50546,466282
50546,363088
50546,462919
383498,437670
402900,437670
437670,466282
363088,437670
437670,462919
331588,383498
331588,402900
331588,466282
331588,363088
331588,462919
19994,383498
19994,402900
19994,466282
19994,363088
19994,462919
3981,383498
3981,402900
3981,466282
3981,363088
3981,462919
233063,383498
233063,402900
233063,466282
233063,363088
233063,462919
9297,383498
9297,402900
9297,466282
9297,363088
9297,462919
39513,383498
39513,402900
39513,466282
39513,363088
39513,462919
150117,383498
150117,402900
150117,466282
150117,363088
150117,462919
138832,383498
138832,402900
138832,466282
138832,363088
138832,462919
15165,383498
15165,402900
15165,466282
15165,363088
15165,462919
82693,383498
82693,402900
82693,466282
82693,363088
82693,462919
209244,383498
209244,402900
209244,466282
209244,363088
209244,462919
50544,383498
50544,402900
50544,466282
50544,363088
50544,462919
272693,383498
272693,402900
272693,466282
272693,363088
272693,462919
1574,383498
1574,402900
1574,466282
1574,363088
1574,462919
8961,383498
8961,402900
8961,466282
8961,363088
8961,462919
17899,383498
17899,402900
17899,466282
17899,363088
17899,462919
339967,383498
339967,402900
339967,466282
339967,363088
339967,462919
383498,402897
402897,402900
402897,466282
363088,402897
402897,462919
10956,383498
10956,402900
10956,466282
10956,363088
10956,462919
107985,383498
107985,402900
107985,466282
107985,363088
107985,462919
65057,383498
65057,402900
65057,466282
65057,363088
65057,462919
331313,383498
331313,402900
331313,466282
331313,363088
331313,462919
10358,383498
10358,402900
10358,466282
10358,363088
10358,462919
383498,452030
402900,452030
452030,466282
363088,452030
452030,462919
747,383498
747,402900
747,466282
747,363088
747,462919
58233,383498
58233,402900
58233,466282
58233,363088
58233,462919
153518,383498
153518,402900
153518,466282
153518,363088
153518,462919
10204,383498
10204,402900
10204,466282
10204,363088
10204,462919
8584,383498
8584,402900
8584,466282
8584,363088
8584,462919
38365,383498
38365,402900
38365,466282
38365,363088
38365,462919
810,383498
810,402900
810,466282
810,363088
810,462919
39939,383498
39939,402900
39939,466282
39939,363088
39939,462919
12279,383498
12279,402900
12279,466282
12279,363088
12279,462919
345915,383498
345915,402900
345915,466282
345915,363088
345915,462919
7518,383498
7518,402900
7518,466282
7518,363088
7518,462919
290250,383498
290250,402900
290250,466282
290250,363088
290250,462919
39451,383498
39451,402900
39451,466282
39451,363088
39451,462919
